,title,company,location,salary,requirements
643,Junior Data Engineer,The Clorox Company,"Pleasanton, CA+1 location",,"Build data pipelines using an ETL tool or Python-based ETL tools for acquiring, processing, and delivering data.Comfortable thinking about data and systems."
644,Sr. Data Modeler,InterImage,"Fort Meade, MD","$150,000 - $190,000 a year","As a data modeler, you will be working closely with data architects and data analysts to implement data modeling solutions to streamline and support enterprise…"
645,Data Analyst 1,Nordstrom Inc,"Seattle, WA+6 locations",,Partner with key stakeholders on data analysis problems.Mine complex digital behavioral data and transform it into actionable information.A day in the life….
646,"Strategy & Analytics Analyst (Monetization Office), Universi...",TikTok,"San Francisco, CA",,"Our team uses data analysis to help drive the company’s monetization strategy and operations.Work closely with cross-functional partners, including local…"
647,newHR Assistant GRN,Crown Equipment Corporation,"Greencastle, IN 46135",,"Perform data entry and word processing support for Manufacturing.Prepare various word documents, data graphs, charts, spreadsheets and presentation material…"
648,"newData Analyst, USC Price Center for Social Innovation",USC,"Los Angeles, CA+2 locations",,"Census Bureau data, other federal datasets, city and county administrative data.Strong quantitative data analysis skills.Ability to manage and analyze data."
649,newC4J Data Analyst,Center For Policing Equity,Remote,,Perform data pre-processing/wrangling tasks to prepare the data for analysis.Use quantitative data to answer C4J research questions.
650,SYSTEMWIDE DATA ANALYST,University of California Office of the President,"Remote in Oakland, CA+1 location","$95,000 - $105,000 a year","Experience with data visualization tools and techniques.As a member of the Systemwide Library Planning team at CDL, the Systemwide Data Analyst will co-design…"
651,newData Scientist,General Motors,+10 locationsRemote,,"Demonstrated skills in selecting the right statistical tools given a data analysis problem.Work with large, complex data sets."
652,Data Analyst,Shriners Hospitals for Children,"Sacramento, CA 95817 (Medical Center area)",,Pull and integrate data from disparate sources (e.g. cost and claims or clinical data).Pull and integrate data from disparate sources (e.g. cost and claims or…
653,Data Science Analyst,Domino's Corporate,"Ann Arbor, MI 48105+1 location",,"Act as primary contact for syndicated data updates including market share and, aggregator tracking solutions.Continue to push the envelope on deliverables from…"
654,newData Management,Cornell University,"Middletown, NY",$25.10 an hour,"Conduct data entry, database maintenance and report production activities.Proficiency in data management and a variety of computer software applications."
655,newData Analyst - Student Health,Keck Medical Center of USC,"Los Angeles, CA 90015 (Downtown area)",,The Data Analyst is accountable for data analysis of complex system-wide provider information/data.Manages and oversees data import/export/downstream processes…
656,newData Analyst,Altair Engineering,"Torrance, CA",,Achieve corporate objectives by translating critical data into insights Honda can use to develop new vehicles that anticipate future customer needs.
657,newData Quality Assistant,Precision Medicine Group,"Norton, MA",,Basic knowledge of data integrity principles and data governance strategies.Work directly with the site manager to ensure data needs are met as it pertains to…
658,Senior Data Scientist,Paramount,"New York, NY 10036+1 location",,"Generate data driven insights through exploratory data analysis on first, second, and third-party data.Champion data governance and evangelize data science…"
659,Data Technology Analyst - Summer 2022,Keyrus USA,"Boston, MA 02108 (Downtown area)+1 location",,"Our team of experts provide strategical data analytics, data engineering, BI, and data science solutions for our clients that range from Fortune 500 companies…"
660,newData Analyst,Panasonic Energy of North America,"Sparks, NV 89437",,Validate input data and output data analysis to ensure data-driven action is rooted in quality data.Collaborate with data development teams to process and…
661,newData Engineer,Location3,"Remote in Denver, CO","$95,000 - $135,000 a year",Designing and integrating new partner data (consumption of new data which shows up in a data lake/storage).Experience working with structured and unstructured…
662,Data Scientist,QuaEra,"New York, NY 10018 (Garment District area)",,"Experience with R, Python, PySpark and data visualization software such as Tableau.Ability to efficiently construct data sets from large scale distributed…"
663,newData Scientist,Ariel Investments,"Chicago, IL",,"Experience with data pipelines and APIs, applied knowledge in data automation and transportation tools.Proficiency developing data visualization tools such as…"
664,"newAssociate, Corporate Financial, Planning & Analysis",Netflix,"Los Gatos, CA",,"Experience working with large data sets, SQL and Tableau knowledge a plus.Developing insightful dashboards, memos & presentations that summarize data and…"
665,newData Scientist,Newsday Media Group,"Melville, NY",,Segmentation using diverse intuitive and non-intuitive data points and potentially fuzzy matching data sources.
666,Junior Data Analyst - Fulltime Position,RSA Tech,"Little Elm, TX",,Experience working with sets of data.Demonstrated experience of ensuring data accuracy.Demonstrated experience running and analyzing data reports and…
667,Data Entry Clerk,Ormat Technologies,"Reno, NV 89519 (East Reno area)",,"Assist with material data cleansing.Pull reports and help verify data within ERP system.This individual will also perform data collection, program audits, and…"
668,JUNIOR DATA ENGINEER,Los Angeles Dodgers LLC,"Los Angeles, CA 90012",,Apply statistical models for data quality testing and missing data imputation.The data engineering group within Baseball Systems operates the data platform…
669,File Clerk,Oklahoma County,"Oklahoma City, OK","$2,947 a month",Must be computer literate with data base system or become computer literate within 90 days.Primarily responsible for filing and retrieving current and recent…
670,newData Scientist I - DBHi,Children's Hospital of Philadelphia,"Philadelphia, PA 19146 (Graduate Hospital area)+5 locations",,Customizing data annotation tools to assist researchers in annotating data/text and training models.Working with sensitive data in a secure environment.
671,newScrumMaster / Tableau & Alteryx Data Analytics,"JPMorgan Chase Bank, N.A.","Plano, TX+85 locations",,"Understand various data sources and strategically source the data.Modify and blend data by designing workflows in the Alteryx application to harvest, validate,…"
672,Data Analyst,HouseCanary,Remote,,Working knowledge of large data manipulation.Help us extend data literacy and curiosity throughout the company.1-2 years experience in SQL.
673,"Sr Manager, Data Governance",Hulu,"Santa Monica, CA 90404",,This role will lead a cross-functional team of data compliance and governance analysts to help implement controls across our data ecosystem and drive customer…
674,newSr. Data Engineer,Barclays,"Wilmington, DE 19801 (Justison Landing area)+2 locations",,"In-depth data warehousing and OLTP system knowledge from database/ETL development perspective.As a Barclays Senior Data Engineer, you will be producing end-to…"
675,Medical Records Clerk,Healthpointe,"Colton, CA 92324",,"Collaborating with registration staff while inputting and retrieving information from data system.At Healthpointe, our Medical Records Clerks create new…"
676,newRecords Technician,Riverside Regional Jail,"Prince George, VA 23860","$34,000 - $64,722 a year","Riverside Regional Jail is seeking a Records Technician to input, retrieve, manipulate and restore data using an automated system."
677,Data Team Deputy,ENDEAVORS,"Pecos, TX 79772",,"Using data systems, reduce where possible inefficiencies and duplicate data entry between federal UAC portal and VisionLink;"
678,Data Analyst,Atlanta Regional Commission,"Atlanta, GA 30303 (Downtown area)","$49,441 - $84,049 a year",Possess advanced writing skills and data analysis;Knowledge in collecting and utilizing data to inform and evaluate programs;
679,newData Retrieval Specialist (Remote Options),Inland Empire Health Plans,"Remote in Rancho Cucamonga, CA","$51,834 - $64,016 a year","Provide backup support for Quality Systems Coordinators, assisting with IEHP’s supplement data efforts including data collection, data entry, research, quality…"
680,DATA ANALYST,Perfume Center of America,"Ronkonkoma, NY 11779",,"Great with data visualization- R Graphics, Tableau.As we want to develop our in-house Analytics, we want someone to develop insights, algorithms and data…"
681,Data Entry Clerk,DG PREMIUM BRANDS LLC,"Fontana, CA 92337",,"SUMMARY OF POSITION: The Data Entry Clerk must have a strong skill set in the following daily business needs: answering receiving related questions, direct…"
682,newData Scientist,PepsiCo,"Plano, TX+2 locations",,Partner with data engineers to ensure data access for discovery and proper data is prepared for model consumption.Refine requirements into modelling problems.
683,newFootball Associate - Recruiting/Operations,Purdue University,"West Lafayette, IN 47906+1 location",,Provide detailed information and data of potential prospects and direction in off campus recruiting.The Football Associate - Recruiting and Operations will be…
684,Data Quality Specialist,RELX,"Oklahoma City, OK+4 locations",,"Job Discipline Description Provides post-sale technical support services to customers, including installation, troubleshooting, problem resolution and…"
685,IT Customer Support Representative,Los Angeles Unified School District,"Los Angeles, CA",Up to $33.10 an hour,Analyze data and draw logical conclusions.Enter relevant data into a computer while conversing on the telephone - Organize files and maintain accurate records.
686,Program Evaluation and Data Integration Specialist,Department of Public Health,"Boston, MA 02108 (Downtown area)","$69,929 - $102,939 a year","Supervise staff who create and disseminate data reports, perform quality assurance, and/or provide support for data submission and reporting."
687,newEquity Research Analyst,Principal Financial Group,"Remote in Des Moines, IA","$87,550 a year","You’ll also monitor, research, and analyze industry and worldwide economic conditions, as well as independently analyze the impact economic and industry trends…"
688,Data Validator,Samaritan Ministries International,"Remote in Peoria, IL",$13.45 - $17.45 an hour,Validating member entered data and compare information to bills submitted to ensure accuracy.Entering Personal Health information (PHI) from medical bills-…
689,newData Analyst,Affinity.co,"San Francisco, CA",,Uphold high standards of data ethics and the responsible use of data.Effectively visualize data in a meaningful and informative way.
690,Provider Data Management Analyst I,Centene Corporation,"Chesterfield, MO+28 locations",,"Perform provider data management related activities based on plan and contract specifications and standard business rules – includes data analysis and entry,…"
691,newData Entry Specialist,Lidl US,"Arlington, VA 22202 (Aurora Highlands area)",,"Analyze data reports, identify errors and execute corrections.This Data Entry, Purchasing Analyst position with our Merchandise Master Data team is responsible…"
692,Associate Data Scientist/Data Scientist,Zurich Insurance,"Hybrid remote in Schaumburg, IL",,"Text mining and data reduction.Contribute to the effort for team to democratize data by consolidating, integrating, cleansing, and minimally curating…"
693,"newProgram Manager, Partner Programs",Netflix,Remote,,Comfortable working with and leveraging data to understand and action learnings.This role will also aid in setting up key success metrics of these onboarding…
694,"newSr. Analyst, Data - REMOTE",Molina Healthcare,"Remote in Long Beach, CA+2 locations",,"With limited supervision, the Sr. Analyst, Data is responsible for data compilation, data management, data analysis, and reporting."
695,newData Analyst,Neighbors Credit Union,"St. Louis, MO 63123","$72,696 - $87,235 a year","*_Leads Day to Day Data Analytics Function_* - Creates and centralizes data research, data feeds, analysis, visualizations, and reporting functions under the…"
696,newData Control Associate-Piece Worker,FIS Global,"Jacksonville, FL 32256",,Has general understanding of data control.Performs data entry on an input device/application.Incumbents in this job are paid based upon the volume of data…
697,"MPG People & Organization Trainee, Corporate – Spring 2022","Sony Pictures Entertainment, Inc.","Hybrid remote in Culver City, CA",,Interest in compensation and data analytics.Analyze survey data and distribute metrics to P&O BPs quarterly.Provide project support to 5 P&O Business Partners…
698,Data Processor,Marie Leising & Associates,Michigan,"$60,000 - $70,000 a year","Will inspect, manipulate and process postal mail data and make sure data meets requirements and sends data to production."
699,"newSenior Associate, Customer Service",Spotify,"Remote in New York, NY",,"Strong data analysis skills with the ability to interpret and summarise complex performance and quantitative data, as well as customer conversations and other…"
700,newGraduate/Undergraduate Student Assistant - Audits and Invest...,"University Enterprises, Inc.","Los Angeles, CA+1 location",$15 - $21 an hour,"Utilize various DHCS data systems and law enforcement resources to gather intelligence, develop investigative casefiles for fieldwork, update electronic case…"
701,Quantitative Analytics Professional - Data Scientist,Freddie Mac,"McLean, VA 22102+1 location",,Develop methodologies for data validation and data quality control.Our team is responsible for developing underwriting and credit scoring models that involve…
702,Allstate Benefits - Senior Data & Analytics Consultant (Remo...,Allstate,"Remote in Northbrook, IL","$67,300 - $90,000 a year","Initiates and leads data analytics projects.The Sr. Consultant II will identify business problems, collect applicable data, develop models, understand results…"
703,"newCo-op, Cyber Security Data Analyst",Moderna,"Cambridge, MA 02139 (The Port area)+2 locations",,"Perform data analytics to determine data usage and develop data usage models and patterns.He/she will collaborate with Digital IT, data scientists, and…"
704,newData Scientist,General Motors,+10 locationsRemote,,"Demonstrated skills in selecting the right statistical tools given a data analysis problem.Work with large, complex data sets."
705,newData Engineer/Implementation Specialist - Remote (Anywhere U...,Change Healthcare,Remote in California+126 locations,,"Healthcare Industry and Claims data knowledge.Healthcare Industry and Claims data knowledge.Understanding of different data formats like CSV/JSON/TXT/Parquet,…"
706,Data Analyst,Promontory Fulfillment Services,Remote,"$80,000 - $100,000 a year","Troubleshooting reporting and data, code and data structure improvement/efficiency.Become expert in LOS, data lake, Google Analytics and overall system data."
707,newData Analyst,Affinity.co,"San Francisco, CA",,Uphold high standards of data ethics and the responsible use of data.Effectively visualize data in a meaningful and informative way.
708,newBAGGAGE AGENT,ABM Industries,"Fort Lauderdale, FL 33315 (Fort Lauderdale-Hollywood International Airport area)+2 locations",,The Baggage Handler is responsible for the transferring of luggage between airlines to assure luggage is connected to the correct carrier in a timely manner.
709,newHistoric Preservation Specialist - Data Management,State of New Mexico,"Santa Fe, NM 87505","$38,101 - $66,296 a year","Review and crosscheck data in the NMCRIS database, cultural resource forms, investigation reports, and other records for accuracy, internal consistency, and…"
710,Student Retention Support,Learn4Life,Louisiana+10 locations,$18.66 an hour,"This position will interact with students, families, school personnel, community agencies and law enforcement.Secure and track return of school books."
711,Data Specialist - Health Analytics,Delta,"Atlanta, GA",,"Working knowledge of technology, big data and data architecture/engineering.Lead data management and data quality assurance activities across Global Health and…"
712,Data Analyst,Red Robin,"Greenwood Village, CO 80111","$89,200 - $122,650 a year","Expertise in complex data structures, data reporting, and data visualizations.Expertise in data retrieval, data modeling, data warehouse design and predictive…"
713,Statistical Data Analyst,University of South Florida,"Tampa, FL 33620 (Terrace Park area)","$51,500 - $65,000 a year","Applying research methods, statistical tools, and computer tools in the analysis of university data, primarily with enrollment management data."
714,Student Information Systems Data Analyst,Winston-Salem Forsyth County Schools,"Winston-Salem, NC 27105",,Provide training and support to schools and other users using student data information systems as well as other software or applications where data is managed…
715,newSenior Data Engineer (Remote),Home Depot / THD,"Remote in Atlanta, GA+7 locations","$100,000 a year",Help Marketing organization to become a 100% data-driven organization by building a next generation data platform that brings accurate and timely data to the…
716,Customer Service Technician,City of Raleigh,"Raleigh, NC 27601 (Central area)","$37,130 - $52,554 a year","Enters, updates and maintains system data; verifies accuracy of data input or system generated updates; makes corrections; posts account adjustments; collects…"
717,newManager Data Operations,Paramount,"New York, NY 10036",,Are used to manipulate data and draw insights from large data sets.Experience with audience creation and data activation inside of media buying platforms.
718,Data Scientist,Vanguard,"Malvern, PA+10 locations",,"Experience with data wrangling required - Programming skills to access, transform and prepare large scale data for statistical modeling."
719,Mapping Data Technician,Cognizant Technology Solutions,"Bothell, WA+1 location",,Handle complex and time-sensitive data modeling questions.Analyze map data and make decisions based on policy to complete map workflows.
720,newData Analyst II,Texas Department of Transportation,"Austin, TX 78704 (Travis Heights area)","$45,158 - $73,788 a year",Working with streaming data and unstructured data from multiple data sources.Performs routine data analysis and data research work.
721,Data Scientist,IBM,"San Jose, CA 95101 (North Valley area)+22 locations",,"Strong analytical skills, data driven mindset.You will be developing NLP based models for prediction based on text data."
722,Data Team Deputy,ENDEAVORS,"Pecos, TX 79772",,"Using data systems, reduce where possible inefficiencies and duplicate data entry between federal UAC portal and VisionLink;"
723,Data Entry Specialist (Contract),"GRAIL, Inc.",Remote,,"Synchronize CRM data with GRAIL’s laboratory information management system (LIMS), ensuring data is accurately passed between each system."
724,newSenior Data Scientist,bp,"San Diego, CA",,You will assess the effectiveness and accuracy of new data sources and data gathering techniques and develop custom data models and algorithms to apply to data…
725,Personalized Ads Evaluator English (US),TELUS International,Remote,,We are looking for dynamic and creative people who have strong communication skills and use the Internet daily.High School Diploma or GED Qualification.
726,"Data Center Technician, JoinOCI",Oracle,"Ashburn, VA 20147+2 locations",,Perform performance trend analysis and manage the server/network capacity.Propose client configuration and implement technical solutions to enhance and/or…
727,newEDI Data Analyst,Brown & Brown Insurance,"Manasquan, NJ",,General understanding of data schemas and structures.The EDI Data Analyst supports clients by collecting and analyzing both incoming and outgoing data and…
728,Data Entry Office Workers,Action Auto Recovery,"Long Beach, CA",,"Action Auto Recovery is seeking data entry office workers, +++ If you have some experience in collections and are bi-lingual, but not required."
729,"newAssociate Product Manager, Martech",Spotify,"Remote in New York, NY",,"Learn to partner with data scientists and user researchers to understand the performance of your tools, features and systems and identify new opportunities of…"
730,Data Sourcing and Strategy,Opendoor,United States,"$132,000 - $211,000 a year","7+ years of data strategy, data sourcing, data analytics, or data acquisition experience.Data Sourcing & Strategy has been created as a new team within…"
731,"newFreelance Researcher, CBS Sports",CBS Sports,"New York, NY 10019 (Hell's Kitchen area)",,Create and deliver informational packets that include data about our games; statistical nuggets and analytical context; storylines ranging from matchups to…
732,Health Data Analyst,Nuna,"Remote in San Francisco, CA",,"Nuna partners with healthcare payers, including government agencies and health plans, to turn data into learnings and information into meaning."
733,Document Validation Specialists (DVS) – 100% REMOTE,AECOM,"Hybrid remote in Houston, TX","$37,523 - $65,666 a year",AECOM is looking to fill multiple full time Document Validation Specialists (DVS) to work on a 3-year contract with the Federal Emergency Management Agency …
734,Data Analyst / Sport Scientist,Orlando Pride,"Sanford, FL",,This person will collect and interpret data and develop systems to analyze and deliver the physical and game metric data for the team and staff success.
735,DATA ANALYST,Perfume Center of America,"Ronkonkoma, NY 11779",,"Great with data visualization- R Graphics, Tableau.As we want to develop our in-house Analytics, we want someone to develop insights, algorithms and data…"
736,"newAnalyst, Concierge",AvantStay,Remote,"$65,000 - $75,000 a year","They should be able to understand how to take data, find actionable trends, and be able to build persuasive data-driven suggestions."
737,Data Entry Clerk,DG PREMIUM BRANDS LLC,"Fontana, CA 92337",,"SUMMARY OF POSITION: The Data Entry Clerk must have a strong skill set in the following daily business needs: answering receiving related questions, direct…"
738,newData Scientist,PepsiCo,"Plano, TX+2 locations",,Partner with data engineers to ensure data access for discovery and proper data is prepared for model consumption.Refine requirements into modelling problems.
739,newFootball Associate - Recruiting/Operations,Purdue University,"West Lafayette, IN 47906+1 location",,Provide detailed information and data of potential prospects and direction in off campus recruiting.The Football Associate - Recruiting and Operations will be…
740,Data Quality Specialist,RELX,"Oklahoma City, OK+4 locations",,"Job Discipline Description Provides post-sale technical support services to customers, including installation, troubleshooting, problem resolution and…"
741,IT Customer Support Representative,Los Angeles Unified School District,"Los Angeles, CA",Up to $33.10 an hour,Analyze data and draw logical conclusions.Enter relevant data into a computer while conversing on the telephone - Organize files and maintain accurate records.
742,newEquity Research Analyst,Principal Financial Group,"Remote in Des Moines, IA","$87,550 a year","You’ll also monitor, research, and analyze industry and worldwide economic conditions, as well as independently analyze the impact economic and industry trends…"
743,Data Validator,Samaritan Ministries International,"Remote in Peoria, IL",$13.45 - $17.45 an hour,Validating member entered data and compare information to bills submitted to ensure accuracy.Entering Personal Health information (PHI) from medical bills-…
744,newData Analyst,Affinity.co,"San Francisco, CA",,Uphold high standards of data ethics and the responsible use of data.Effectively visualize data in a meaningful and informative way.
745,Research Assistant,Insight Policy Research,Remote,,"For further information and information about our work and corporate culture, please visit our website at www.insightpolicyresearch.com.ResponsibilitiesProvide…"
746,"newAssociate Product Manager, Martech",Spotify,"Remote in New York, NY",,"Learn to partner with data scientists and user researchers to understand the performance of your tools, features and systems and identify new opportunities of…"
747,newRevenue Data Analyst,Charlotte Radiology - US Radiology Specialists,+1 locationRemote,,3-5 years of financial data analysis is essential.Healthcare data analysis or healthcare consulting experience is highly preferred.
748,newData Analyst,North Carolina Dept of Commerce,"Wake County, NC","$42,780 - $72,424 a year",Documenting data requirements and processes and ensuring data quality.Using data management and statistical software to perform analysis.
749,newData Entry Operator,Dept of State Health Services,"Austin, TX 78756 (Brentwood area)+1 location","$2,194 - $3,446 a month","1 year experience performing data entry.Performs complex data entry for the Texas Health Steps, Newborn Screening or Microbiological Programs."
